L_explain,L_avail,C_ref,L_exam,C_dept,C_incorporated,T_net,I_interclass,I_inquire,I_consult,L_covers,T_comp,SATISFIED
3,4,3,4,5,2,4,1,4,4,4,5,YES
4,4,4,4,5,4,5,4,5,5,4,5,YES
4,4,4,4,5,4,4,4,4,4,4,5,YES
5,4,4,5,4,4,5,5,5,5,4,4,YES
4,4,4,3,4,4,4,3,4,4,4,5,YES
4,5,4,4,4,5,5,4,5,5,4,4,YES
4,4,4,3,3,4,4,5,5,5,5,4,YES
4,4,4,4,4,4,5,5,5,5,5,5,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
2,2,3,4,4,4,5,4,4,4,4,4,YES
3,4,4,4,4,4,4,4,4,4,4,4,YES
1,3,3,2,4,3,4,3,2,3,3,3,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
3,4,4,4,4,4,4,4,3,4,4,4,YES
4,4,4,4,4,4,4,4,5,4,4,3,YES
3,4,3,4,4,4,4,4,4,4,4,4,YES
5,5,5,5,5,5,5,5,5,5,5,4,YES
2,4,5,5,3,5,4,4,4,5,5,4,YES
4,3,4,4,5,4,5,4,4,4,4,4,YES
2,3,4,4,4,4,4,4,4,4,4,4,YES
4,5,4,5,4,5,5,5,4,4,4,4,YES
4,5,4,5,4,4,5,4,4,5,5,5,YES
4,4,5,5,3,4,4,4,4,4,4,4,YES
5,5,4,4,5,4,4,4,4,5,5,4,YES
3,5,4,5,4,5,5,4,4,5,4,4,YES
5,4,4,5,4,4,5,4,5,5,4,5,YES
5,5,5,5,4,5,4,4,5,5,4,4,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
4,5,4,4,4,5,5,4,3,5,5,5,YES
4,4,4,4,5,4,5,4,4,4,4,5,YES
4,4,4,4,3,4,4,4,4,4,4,4,YES
4,5,5,4,4,4,5,4,4,5,5,4,YES
4,5,5,4,4,5,5,4,4,5,4,4,YES
5,3,4,5,4,4,4,4,4,4,4,4,YES
4,4,4,4,4,4,5,4,4,4,4,5,YES
3,4,4,5,5,5,5,5,5,5,5,5,YES
2,4,4,4,4,5,5,4,4,4,4,4,YES
3,5,5,4,4,4,4,5,4,4,5,4,YES
4,5,4,5,4,5,5,5,5,5,5,5,YES
5,5,5,5,4,5,5,5,5,5,5,4,YES
5,4,3,3,3,4,5,3,2,4,4,3,YES
5,4,4,3,4,5,5,4,4,4,4,4,YES
2,4,5,3,4,4,3,3,4,4,5,4,YES
3,4,4,5,4,4,5,4,4,5,4,4,YES
2,4,3,4,4,4,5,5,3,4,4,4,YES
5,5,5,5,5,5,5,5,4,5,5,4,YES
4,3,4,4,3,4,4,4,3,4,3,4,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
5,4,5,4,5,4,5,4,4,4,5,4,YES
5,5,5,5,5,5,5,5,5,5,5,4,YES
4,5,4,4,4,4,4,5,5,5,4,4,YES
2,4,3,4,4,4,4,5,5,4,4,4,YES
4,4,5,5,4,4,5,4,5,4,5,4,YES
1,4,4,4,4,4,4,4,4,4,5,4,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
1,1,1,3,3,4,4,4,4,5,5,5,YES
4,4,4,4,4,5,5,5,5,5,5,4,YES
3,4,4,4,4,4,5,5,5,5,5,5,YES
1,3,3,4,5,5,5,4,4,5,4,5,YES
4,4,5,5,5,5,5,5,5,4,4,4,YES
4,4,4,4,5,5,5,5,4,4,4,4,YES
4,4,4,5,4,5,5,5,5,5,4,4,YES
3,4,4,4,4,4,4,4,3,4,4,4,YES
5,4,4,4,5,4,5,4,4,4,4,4,YES
5,4,5,5,5,5,5,5,5,5,5,5,YES
4,5,4,4,5,4,5,4,4,5,4,4,YES
4,5,4,5,4,4,5,5,4,4,4,5,YES
3,3,4,5,5,5,5,4,5,4,4,5,YES
3,4,3,4,4,5,5,4,4,4,5,4,YES
4,4,4,4,5,5,4,4,5,4,5,5,YES
4,5,4,5,4,4,4,5,4,4,5,5,YES
5,5,5,5,5,4,5,5,5,4,4,5,YES
5,3,5,3,5,5,3,5,3,3,5,5,YES
5,4,3,4,5,4,3,4,5,4,3,4,YES
4,4,3,4,3,4,4,3,4,4,4,4,YES
4,5,5,5,4,5,5,4,4,5,4,5,YES
3,3,3,3,2,2,2,2,3,3,4,2,YES
4,4,4,4,4,4,4,5,5,5,5,4,YES
5,4,5,4,5,4,5,4,3,5,4,4,YES
4,3,4,4,4,4,4,4,4,5,5,4,YES
5,5,5,5,5,5,5,5,5,4,4,4,YES
4,4,4,4,4,4,5,5,5,5,5,5,YES
4,4,3,4,4,4,3,4,4,4,4,4,YES
3,4,4,4,4,4,4,4,4,4,4,4,YES
4,4,4,4,4,4,4,5,4,4,5,5,YES
3,4,4,4,4,4,4,4,3,4,4,4,YES
3,3,4,4,4,4,4,4,4,4,4,4,YES
4,4,5,4,5,4,5,5,5,4,4,5,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
2,3,2,3,2,3,3,3,3,3,2,2,NO
3,4,4,5,3,4,5,5,4,5,5,4,YES
2,3,2,3,2,3,3,2,4,3,3,3,NO
4,5,4,5,4,4,5,4,5,5,4,4,YES
3,3,3,4,3,3,4,4,4,5,5,5,YES
4,4,4,4,4,3,4,4,3,4,4,4,YES
5,5,5,5,5,5,5,4,4,4,4,4,YES
5,5,5,5,5,5,5,5,5,4,4,4,YES
3,3,3,4,4,4,4,4,4,5,5,5,YES
4,5,4,5,4,3,4,3,3,4,4,4,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
3,3,4,4,4,4,4,4,4,4,4,4,YES
5,4,5,4,5,5,4,5,4,4,5,5,YES
4,4,3,5,5,5,4,5,4,5,4,5,YES
3,4,4,4,4,4,4,4,4,4,4,4,YES
5,5,5,4,5,4,5,5,4,3,4,4,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
4,4,4,4,4,4,4,4,4,4,4,3,YES
5,4,4,4,4,5,4,4,4,4,4,4,YES
5,5,5,5,4,5,5,5,5,5,5,5,YES
4,4,4,4,5,5,5,5,5,5,5,5,YES
4,4,5,4,5,4,5,4,4,4,4,4,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
2,4,4,4,4,4,4,3,4,4,4,4,YES
3,3,3,3,3,3,3,2,3,3,3,3,NO
5,4,5,3,5,5,4,3,3,4,4,3,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
4,5,4,5,4,4,5,5,5,4,5,5,YES
3,4,4,4,3,4,4,4,4,3,3,4,YES
4,4,4,4,4,4,5,5,5,4,4,4,YES
4,4,4,4,4,4,4,4,4,4,4,4,YES
5,4,4,5,4,5,5,4,4,5,4,4,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
5,5,5,5,5,5,5,5,5,5,5,5,YES
1,1,1,1,5,5,5,5,5,5,5,5,YES
1,1,2,2,3,4,4,4,3,2,2,2,NO
5,4,5,5,5,3,4,4,4,5,5,4,YES
4,5,4,2,4,5,4,4,4,4,4,5,YES
4,2,2,4,1,2,1,3,4,2,4,1,YES
3,2,2,2,2,2,2,4,3,2,1,4,YES
4,5,5,4,2,2,1,4,4,2,2,2,NO
2,1,2,4,1,1,2,2,1,2,4,1,NO
4,4,2,5,4,2,1,4,4,3,4,5,NO
4,4,2,4,2,2,2,4,4,3,4,1,NO
1,4,4,4,2,2,2,4,4,1,5,1,NO
4,4,2,4,3,2,4,4,4,4,4,2,YES
4,4,4,4,4,4,4,4,4,3,4,4,YES
2,3,2,4,2,1,2,4,4,2,2,1,NO
1,3,2,5,4,4,4,4,1,2,3,2,YES
2,4,2,4,1,2,1,2,2,2,4,1,NO
4,4,3,4,1,1,1,4,1,5,2,4,NO
2,4,3,4,3,4,2,4,4,4,4,3,NO
2,2,4,4,3,4,3,4,4,4,3,4,NO
1,2,2,5,4,2,4,4,1,5,4,2,NO
2,1,1,4,1,1,2,4,2,2,2,1,NO
4,3,2,5,2,2,2,4,2,5,4,2,NO
4,2,2,4,1,2,1,3,4,2,4,1,YES
3,2,2,2,2,2,2,4,3,2,1,4,YES
4,5,5,4,2,2,1,4,4,2,2,2,NO
2,1,2,4,1,1,2,2,1,2,4,1,NO
4,4,2,5,4,2,1,4,4,3,4,5,NO
4,4,2,4,2,2,2,4,4,3,4,1,NO
1,4,4,4,2,2,2,4,4,1,5,1,NO
4,4,2,4,3,2,4,4,4,4,4,2,YES
4,4,4,4,4,4,4,4,4,3,4,4,YES
2,3,2,4,2,1,2,4,4,2,2,1,NO
1,3,2,5,4,4,4,4,1,2,3,2,YES
5,3,2,4,1,2,1,4,1,1,5,1,NO
4,1,4,4,3,1,5,1,3,4,5,1,YES
4,1,2,4,4,4,2,4,4,2,5,1,NO
4,3,2,4,4,4,4,4,4,4,4,4,YES
